typing_speed,study_hours,break_count,sleep_hours,mood_score,device_usage_hours,task_completion,distraction_count,burnout_label,burnout_risk
0.5850622406639003,0.4012738853503185,0.2857142857142857,0.7101865136298422,0.6666666666666665,0.5077343039126478,0.576978737615496,0.2,1,Medium
0.40449738990764283,0.29026387625113736,0.42857142857142855,0.5968436154949784,0.5555555555555556,0.370336669699727,0.6271846821774463,0.2,1,Medium
0.5562842992905903,0.4413102820746132,0.42857142857142855,0.5566714490674318,0.4444444444444445,0.4121929026387625,0.5676277412891015,0.26666666666666666,1,Medium
0.4212287511711952,0.2738853503184713,0.2857142857142857,0.44476327116212344,0.6666666666666665,0.3848953594176524,0.58521652009351,0.4,1,Medium
0.41132378530317226,0.4549590536851683,0.2857142857142857,0.4605451936872309,0.4444444444444445,0.42129208371246585,0.4724479572525883,0.26666666666666666,1,Medium
0.4184178824789184,0.4995450409463148,0.5714285714285714,0.45480631276900996,0.4444444444444445,0.4840764331210191,0.6504508516085941,0.26666666666666666,1,Medium
0.5171998393789319,0.456778889899909,0.42857142857142855,0.5982783357245337,0.6666666666666665,0.30937215650591443,0.6265167538684182,0.3333333333333333,1,Medium
0.6574755722125553,0.33939945404913563,0.2857142857142857,0.6097560975609756,0.4444444444444445,0.4549590536851683,0.5370143604586441,0.3333333333333333,1,Medium
0.18806050060232896,0.868061874431301,0.2857142857142857,0.15351506456241037,0.1111111111111111,0.8362147406733392,0.03050205944561951,0.8,2,High
0.9340115111765493,0.04913557779799815,0.5714285714285714,0.8751793400286942,1.0,0.02729754322111011,0.7894912612712903,0.06666666666666667,0,Low
0.07241333154865481,0.9399454049135577,0.14285714285714285,0.12912482065997133,0.2222222222222222,0.9381255686988171,0.3707002115106312,0.9333333333333333,2,High
0.8214429125953687,0.09645131938125567,0.7142857142857142,0.7919655667144907,0.6666666666666665,0.26569608735213834,0.9963263943003451,0.06666666666666667,0,Low
0.5707401954222995,0.5377616014558689,0.42857142857142855,0.6628407460545194,0.3333333333333333,0.36578707916287534,0.5898920182567071,0.3333333333333333,1,Medium
0.17106143755855976,0.7670609645131937,0.14285714285714285,0.32855093256814916,0.1111111111111111,0.6242038216560509,0.36691528442613824,0.5333333333333333,2,High
0.14201579440503273,0.9717925386715195,0.14285714285714285,0.08895265423242471,0.0,0.8726114649681528,0.2636090392964489,0.7333333333333333,2,High
0.24695489225003345,0.7561419472247498,0.0,0.08321377331420371,0.1111111111111111,0.629663330300273,0.3729266392073917,0.9333333333333333,2,High
